"","lsoaname.x","lsoacode","rank10","rank15","rank19","change1519"
"1","Adur 001A","E01031349",21921,21352,21352,0
"2","Adur 001B","E01031350",7503,8864,8864,0
"3","Adur 001C","E01031351",20914,22143,22143,0
"4","Adur 001D","E01031352",15637,17252,17252,0
"5","Adur 001E","E01031370",13357,15643,15643,0
"6","Adur 001F","E01031374",20935,21176,21176,0
"7","Adur 002A","E01031338",26832,27934,27934,0
"8","Adur 002B","E01031339",26559,28249,28249,0
"9","Adur 002C","E01031340",28915,27569,27569,0
"10","Adur 002D","E01031365",17004,18352,18352,0
