"","lsoaname.x","lsoacode","rank10","rank15","rank19","change1519"
"1","Westminster 016C","E01004694",11908,12101,26491,14390
"2","Westminster 006B","E01004706",19234,18209,27823,9614
"3","Hammersmith and Fulham 011B","E01001931",8494,6384,15702,9318
"4","Westminster 007A","E01004701",17845,16093,25245,9152
"5","Westminster 002B","E01004648",14740,14895,23935,9040
"6","Greenwich 004E","E01033731",NA,13562,22527,8965
"7","Westminster 003A","E01004651",22242,16569,25503,8934
"8","Gloucester 015H","E01032936",NA,10217,19017,8800
"9","Leeds 111D","E01033015",NA,15267,23910,8643
"10","Liverpool 062B","E01033752",NA,17254,25826,8572
