"","lsoacode","lsoaname.x","employscore15","employscore19","change15to19"
"1","E01007253","Wirral 030C",0.222,0.438,0.216
"2","E01004735","Westminster 018B",0.127,0.226,0.099
"3","E01010513","Wolverhampton 031A",0.067,0.134,0.067
"4","E01012018","Middlesbrough 011A",0.294,0.348,0.054
"5","E01012966","East Riding of Yorkshire 022E",0.084,0.136,0.052
"6","E01008356","Newcastle upon Tyne 006C",0.14,0.191,0.051
"7","E01011523","Leeds 096C",0.1,0.14,0.04
"8","E01015553","Swindon 009E",0.046,0.083,0.037
"9","E01027452","Northumberland 016A",0.115,0.152,0.037
"10","E01018226","South Cambridgeshire 019A",0.111,0.146,0.035
