"","lsoacode","lsoaname.x","IDACIrate15","IDACIrate19","change15to19"
"1","E01016969","Brighton and Hove 027E",0.436,0.798,0.362
"2","E01012751","Blackpool 013D",0.557,0.791,0.234
"3","E01007253","Wirral 030C",0.179,0.402,0.223
"4","E01004742","Westminster 022A",0.046,0.23,0.184
"5","E01022245","Forest of Dean 007F",0.168,0.348,0.18
"6","E01021003","Hastings 007D",0.122,0.297,0.175
"7","E01024364","Maidstone 017A",0.115,0.287,0.172
"8","E01022139","Cheltenham 004A",0.098,0.264,0.166
"9","E01018657","Cheshire East 002A",0.097,0.259,0.162
"10","E01015794","Luton 018F",0.343,0.504,0.161
