"","lsoacode","lsoaname.x","IDACIrate15","IDACIrate19","change15to19"
"1","E01033124","Ipswich 007F",0.726,0.341,-0.385
"2","E01001931","Hammersmith and Fulham 011B",0.462,0.093,-0.369
"3","E01033497","Milton Keynes 023E",0.621,0.274,-0.347
"4","E01033554","Newcastle upon Tyne 024I",0.508,0.195,-0.313
"5","E01032784","Tower Hamlets 004G",0.553,0.245,-0.308
"6","E01004665","Westminster 024A",0.611,0.318,-0.293
"7","E01004658","Westminster 012B",0.366,0.084,-0.282
"8","E01033559","Birmingham 049E",0.896,0.618,-0.278
"9","E01004254","Tower Hamlets 023B",0.562,0.285,-0.277
"10","E01033761","Liverpool 060D",0.389,0.117,-0.272
