"","lsoacode","lsoaname.x","IDAOPIrate15","IDAOPIrate19","change15to19"
"1","E01033263","Sheffield 073C",0.288,0.646,0.358
"2","E01008913","Birmingham 050B",0.471,0.728,0.257
"3","E01007253","Wirral 030C",0.237,0.439,0.202
"4","E01005212","Manchester 057A",0.707,0.897,0.19
"5","E01032975","Northampton 029E",0.128,0.291,0.163
"6","E01023144","Rushmoor 008D",0.574,0.731,0.157
"7","E01033415","Reading 011F",0.398,0.554,0.156
"8","E01023145","Rushmoor 010E",0.518,0.67,0.152
"9","E01011426","Leeds 048B",0.58,0.728,0.148
"10","E01024877","Burnley 003D",0.586,0.723,0.137
