"","lsoacode","lsoaname.x","IDAOPIrate15","IDAOPIrate19"
"1","E01007133","Wirral 016E",0.654,0.654
"2","E01021988","Tendring 018A",0.403,0.403
"3","E01012655","Blackburn with Darwen 006E",0.673,0.673
"4","E01013137","North East Lincolnshire 002B",0.521,0.521
"5","E01012681","Blackpool 006A",0.422,0.422
"6","E01022025","Tendring 016B",0.352,0.352
"7","E01007007","Sefton 037B",0.609,0.609
"8","E01005682","Salford 024D",0.506,0.506
"9","E01008978","Birmingham 121B",0.524,0.524
"10","E01012673","Blackpool 010A",0.616,0.616
