"","lsoacode","lsoaname.x","incomescore10","incomescore15","incomescore19","change15to19"
"1","E01007253","Wirral 030C",0.2557112,0.208,0.446,0.238
"2","E01033492","Islington 011I",NA,0.095,0.177,0.082
"3","E01023142","Rushmoor 008B",0.0951087,0.265,0.346,0.081
"4","E01004735","Westminster 018B",0.1260792,0.138,0.216,0.078
"5","E01003971","Southwark 015D",0.2483428,0.305,0.382,0.077
"6","E01006514","Liverpool 037A",0.2834322,0.188,0.264,0.076
"7","E01032720","Southwark 009F",NA,0.205,0.28,0.075
"8","E01006611","Liverpool 012A",0.4172041,0.442,0.51,0.068
"9","E01010599","Bradford 028C",0.1339996,0.183,0.249,0.066
"10","E01002082","Haringey 013A",0.3680312,0.372,0.437,0.065
