"","lsoaname.x","lsoacode","rank10","rank15","rank19","change1519"
"1","Tendring 018A","E01021988",1,1,1,0
"2","Blackpool 010A","E01012673",3,2,2,0
"3","Blackpool 006A","E01012681",23,3,3,0
"4","Blackpool 013B","E01012672",37,17,4,-13
"5","Blackpool 013A","E01012671",27,7,5,-2
"6","Blackpool 013D","E01012751",257,5,6,1
"7","Blackpool 010E","E01012737",58,11,7,-4
"8","Blackpool 011A","E01012670",233,9,8,-1
"9","Blackpool 008D","E01012682",35,23,9,-14
"10","Liverpool 019C","E01006547",361,50,10,-40
